epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568493171282,2019-09-14T16:32:51.282,45.321,99157.141
1568493171416,2019-09-14T16:32:51.416,45.455,99153.672
1568493171553,2019-09-14T16:32:51.553,45.592,99161.477
1568493171689,2019-09-14T16:32:51.689,45.728,99156.742
1568493171824,2019-09-14T16:32:51.824,45.863,99152.016
1568493171960,2019-09-14T16:32:51.960,45.999,99155.906
1568493172096,2019-09-14T16:32:52.096,46.135,99157.641
1568493172231,2019-09-14T16:32:52.231,46.270,99153.734
1568493172367,2019-09-14T16:32:52.367,46.406,99155.047
1568493172503,2019-09-14T16:32:52.503,46.542,99155.906
1568493172638,2019-09-14T16:32:52.638,46.677,99157.211
1568493172774,2019-09-14T16:32:52.774,46.813,99158.109
1568493172909,2019-09-14T16:32:52.909,46.948,99155.438
1568493173045,2019-09-14T16:32:53.045,47.084,99167.141
1568493173182,2019-09-14T16:32:53.182,47.221,99158.508
1568493173316,2019-09-14T16:32:53.316,47.355,99158.039
1568493173453,2019-09-14T16:32:53.453,47.492,99169.742
1568493173587,2019-09-14T16:32:53.587,47.626,99162.781
1568493173724,2019-09-14T16:32:53.724,47.763,99160.172
1568493173860,2019-09-14T16:32:53.860,47.899,99165.375
1568493173995,2019-09-14T16:32:53.995,48.034,99160.109
1568493174131,2019-09-14T16:32:54.131,48.170,99158.875
1568493174267,2019-09-14T16:32:54.267,48.306,99160.578
1568493174402,2019-09-14T16:32:54.402,48.441,99154.547
1568493174538,2019-09-14T16:32:54.538,48.577,99157.977
1568493174673,2019-09-14T16:32:54.673,48.712,99159.273
1568493174809,2019-09-14T16:32:54.809,48.848,99160.516
1568493174945,2019-09-14T16:32:54.945,48.984,99158.742
1568493175080,2019-09-14T16:32:55.080,49.119,99162.172
1568493175216,2019-09-14T16:32:55.216,49.255,99158.742
1568493175352,2019-09-14T16:32:55.352,49.391,99156.141
1568493175487,2019-09-14T16:32:55.487,49.526,99155.680
1568493175623,2019-09-14T16:32:55.623,49.662,99150.469
1568493175760,2019-09-14T16:32:55.760,49.799,99157.906
1568493175894,2019-09-14T16:32:55.894,49.933,99154.906
1568493176031,2019-09-14T16:32:56.031,50.070,99159.211
1568493176165,2019-09-14T16:32:56.165,50.204,99160.875
1568493176302,2019-09-14T16:32:56.302,50.341,99163.484
1568493176438,2019-09-14T16:32:56.438,50.477,99154.375
1568493176573,2019-09-14T16:32:56.573,50.612,99157.844
1568493176709,2019-09-14T16:32:56.709,50.748,99151.406
1568493176845,2019-09-14T16:32:56.845,50.884,99160.047
1568493176980,2019-09-14T16:32:56.980,51.019,99157.047
1568493177116,2019-09-14T16:32:57.116,51.155,99156.609
